id_penginapan,nama_tempat,longitude,latitude,rating,id_daerah,alamat
1,The Sultan Hotel Jakarta,106.809331,-6.216947,4,1,http://maps.google.com/?q=The+Sultan+Hotel+Jakarta
2,Aryaduta Suite Semanggi,106.81611743684005,-6.219991301063097,4,1,http://maps.google.com/?q=Aryaduta+Suite+Semanggi
3,Aloft South Jakarta,106.8162942,-6.291784031,4,1,http://maps.google.com/?q=Aloft+South+Jakarta
4,"The Langham, Jakarta",106.8063958,-6.227097,4,1,"http://maps.google.com/?q=The+Langham,+Jakarta"
5,"Hotel Mulia Senayan, Jakarta",106.797045,-6.215131,4,1,"http://maps.google.com/?q=Hotel+Mulia+Senayan,+Jakarta"
6,ASTON Priority Simatupang & Conference Center,106.834503,-6.301503,4,1,http://maps.google.com/?q=ASTON+Priority+Simatupang+&+Conference+Center
7,Merlynn Park Hotel,106.815414,-6.165894,4,1,http://maps.google.com/?q=Merlynn+Park+Hotel
8,Ascott Sudirman Jakarta,106.81968129999996,-6.2215855,4,1,http://maps.google.com/?q=Ascott+Sudirman+Jakarta
9,"The Hermitage, a Tribute Portfolio Hotel, Jakarta",106.838031,-6.198188,4,1,"http://maps.google.com/?q=The+Hermitage,+a+Tribute+Portfolio+Hotel,+Jakarta"
10,Mercure Convention Center Ancol - CHSE Certified,106.836323,-6.122196,4,1,http://maps.google.com/?q=Mercure+Convention+Center+Ancol+-+CHSE+Certified
11,Hotel Borobudur Jakarta,106.83579,-6.172478,4,1,http://maps.google.com/?q=Hotel+Borobudur+Jakarta
12,Discovery Ancol,106.830982,-6.125865,4,1,http://maps.google.com/?q=Discovery+Ancol
13,Yuan Garden Pasar Baru,106.83275252580644,-6.163203600688937,4,1,http://maps.google.com/?q=Yuan+Garden+Pasar+Baru
14,Menara Peninsula Hotel Jakarta,106.797909,-6.189983,4,1,http://maps.google.com/?q=Menara+Peninsula+Hotel+Jakarta
15,"The Ritz-Carlton Jakarta, Pacific Place Hotel",106.809681,-6.223285,4,1,"http://maps.google.com/?q=The+Ritz-Carlton+Jakarta,+Pacific+Place+Hotel"
16,Grand Hyatt Jakarta,106.82246199999996,-6.192628300000001,4,1,http://maps.google.com/?q=Grand+Hyatt+Jakarta
17,Century Park Hotel,106.8029623920654,-6.223261201271582,4,1,http://maps.google.com/?q=Century+Park+Hotel
18,Best Western Premier The Hive,106.875336,-6.245033,4,1,http://maps.google.com/?q=Best+Western+Premier+The+Hive
