id_image,id_penginapan,url_image
146,146,https://storage.googleapis.com/tenan-bucket/hotel_images/Adi%20Pelita%20Sari.jpg
147,147,https://storage.googleapis.com/tenan-bucket/hotel_images/Hermes%20Palace%20by%20BENCOOLEN.jpg
148,148,https://storage.googleapis.com/tenan-bucket/hotel_images/Hip%20Hope%20Hotel.jpg
149,149,https://storage.googleapis.com/tenan-bucket/hotel_images/Kyriad%20Hotel%20Muraya%20Aceh.jpg
150,150,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20Pade%20Hotel.jpg
151,151,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Medan%20Banda%20Aceh.jpg
152,152,https://storage.googleapis.com/tenan-bucket/hotel_images/Grand%20Arabia%20Hotel.jpg
153,153,https://storage.googleapis.com/tenan-bucket/hotel_images/Plum%20Hotel%20Lading%20Banda%20Aceh.jpg
154,154,https://storage.googleapis.com/tenan-bucket/hotel_images/SPOT%20ON%202134%20Seunia%20Hotel.jpg
155,155,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Rasamala.jpg
156,156,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Amel%20%26%20Convention%20Hall.jpg
157,157,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%20854%20Ub%20Caisar%20Hotel.jpg
158,158,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Mekkah.jpg
159,159,https://storage.googleapis.com/tenan-bucket/hotel_images/Kumala%20Hotel%20Banda%20Aceh.jpg
160,160,https://storage.googleapis.com/tenan-bucket/hotel_images/Grand%20Nanggroe%20Hotel.jpg
161,161,https://storage.googleapis.com/tenan-bucket/hotel_images/Seventeen%20Hotel.jpg
162,162,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%2061%20Banda%20Aceh.jpg
163,163,https://storage.googleapis.com/tenan-bucket/hotel_images/Mita%20Mulia%20Hotel.jpg
164,164,https://storage.googleapis.com/tenan-bucket/hotel_images/Oasis%20Atjeh%20Hotel.jpg
165,165,https://storage.googleapis.com/tenan-bucket/hotel_images/Al-Hanifi%20Hotel.jpg
166,166,https://storage.googleapis.com/tenan-bucket/hotel_images/Capital%20O%202018%20Ring%20Road%20Guest%20House%20Syariah.jpg
167,167,https://storage.googleapis.com/tenan-bucket/hotel_images/My%20Home%20Aceh.jpg
168,168,https://storage.googleapis.com/tenan-bucket/hotel_images/Capital%20O%201630%20Hotel%20Syariah%20Ring%20Road.jpg
169,169,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Madinah.jpg
170,170,https://storage.googleapis.com/tenan-bucket/hotel_images/Hozby%20Family%20Suites.jpg
171,171,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20ZHM%20Premiere%20Padang.jpg
172,172,https://storage.googleapis.com/tenan-bucket/hotel_images/Truntum%20Padang%20Hotel.jpg
173,173,https://storage.googleapis.com/tenan-bucket/hotel_images/ibis%20Padang%20Hotel.jpg
174,174,https://storage.googleapis.com/tenan-bucket/hotel_images/Rocky%20Plaza%20Hotel%20Padang.jpg
175,175,https://storage.googleapis.com/tenan-bucket/hotel_images/Pangeran%20Beach%20Hotel.jpg
176,176,https://storage.googleapis.com/tenan-bucket/hotel_images/Mercure%20Padang.jpg
177,177,https://storage.googleapis.com/tenan-bucket/hotel_images/Ocean%20Beach%20Hotel.jpg
178,178,https://storage.googleapis.com/tenan-bucket/hotel_images/Kyriad%20Bumiminang%20Hotel%20Padang.jpg
179,179,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20Axana%20Hotel.jpg
