id_image,id_wisata,url_image
135,135,https://storage.googleapis.com/tenan-bucket/images/Kawasan%20Wisata%20Sosrowijayan.jpg
136,136,https://storage.googleapis.com/tenan-bucket/images/Grojogan%20Watu%20Purbo%20Bangunrejo.jpg
137,137,https://storage.googleapis.com/tenan-bucket/images/Wisata%20Alam%20Kalibiru.jpg
138,138,https://storage.googleapis.com/tenan-bucket/images/Jogja%20Exotarium.jpg
139,139,https://storage.googleapis.com/tenan-bucket/images/Puncak%20Gunung%20Api%20Purba%20-%20Nglanggeran.jpg
140,140,https://storage.googleapis.com/tenan-bucket/images/Bendung%20Lepen.jpg
141,141,https://storage.googleapis.com/tenan-bucket/images/Bunker%20Kaliadem%20Merapi.jpg
142,142,https://storage.googleapis.com/tenan-bucket/images/Ledok%20Sambi.jpg
143,143,https://storage.googleapis.com/tenan-bucket/images/Seribu%20Batu%20Songgo%20Langit.jpg
144,144,https://storage.googleapis.com/tenan-bucket/images/Goa%20Jomblang.jpg
145,145,https://storage.googleapis.com/tenan-bucket/images/Desa%20Wisata%20Rumah%20Domes.jpg
146,146,https://storage.googleapis.com/tenan-bucket/images/Bukit%20Wisata%20Pulepayung.jpg
147,147,https://storage.googleapis.com/tenan-bucket/images/Bentara%20Budaya%20Yogyakarta%20(BBY).jpg
148,148,https://storage.googleapis.com/tenan-bucket/images/Goa%20Rancang%20Kencono.jpg
149,149,https://storage.googleapis.com/tenan-bucket/images/Goa%20Cerme.jpg
150,150,https://storage.googleapis.com/tenan-bucket/images/Wisata%20Kraton%20Jogja.jpg
151,151,https://storage.googleapis.com/tenan-bucket/images/Desa%20Wisata%20Kelor.jpg
152,152,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Patihan.jpg
153,153,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Kukup.jpg
154,154,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Ngrawe%20(Mesra).jpg
155,155,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Ngobaran.jpg
156,156,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Pulang%20Sawal.jpg
157,157,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Baron.jpg
158,158,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Pok%20Tunggal.jpg
159,159,https://storage.googleapis.com/tenan-bucket/images/Hutan%20Pinus%20Asri.jpg
160,160,https://storage.googleapis.com/tenan-bucket/images/Pasar%20Kebon%20Empring%20Bintaran.jpg
161,161,https://storage.googleapis.com/tenan-bucket/images/Bukit%20Paralayang%20Watugupit.jpg
162,162,https://storage.googleapis.com/tenan-bucket/images/Kampung%20Wisata%20Dipowinatan.jpg
163,163,https://storage.googleapis.com/tenan-bucket/images/Watu%20Mabur%20Mangunan.jpg
164,164,https://storage.googleapis.com/tenan-bucket/images/Pintoe%20Langit%20Dahromo.jpg
165,165,https://storage.googleapis.com/tenan-bucket/images/Green%20Village%20Gedangsari.jpg
166,166,https://storage.googleapis.com/tenan-bucket/images/Kebun%20Teh%20Nglinggo.jpg
167,167,https://storage.googleapis.com/tenan-bucket/images/Geoforest%20Watu%20Payung%20Turunan.jpg
168,168,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Timang.jpg
169,169,https://storage.googleapis.com/tenan-bucket/images/Puncak%20Segoro.jpg
170,170,https://storage.googleapis.com/tenan-bucket/images/Candi%20Borobudur.jpg
171,171,https://storage.googleapis.com/tenan-bucket/images/Candi%20Ijo.jpg
172,172,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Indrayanti.jpg
173,173,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Nglambor.jpg
174,174,https://storage.googleapis.com/tenan-bucket/images/Pasar%20Beringharjo.jpg
175,175,https://storage.googleapis.com/tenan-bucket/images/Museum%20Ullen%20Sentalu.jpg
176,176,https://storage.googleapis.com/tenan-bucket/images/Museum%20Gunung%20Merapi.jpg
177,177,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Parangtritis.jpg
178,178,https://storage.googleapis.com/tenan-bucket/images/Goa%20Pindul.jpg
179,179,https://storage.googleapis.com/tenan-bucket/images/Candi%20Ratu%20Boko.jpg
180,180,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Depok%20Jogja.jpg
181,181,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Sundak.jpg
182,182,https://storage.googleapis.com/tenan-bucket/images/Hutan%20Mangrove%20Kulon%20Progo.jpg
183,183,https://storage.googleapis.com/tenan-bucket/images/Jogja%20Bay%20Pirates%20Adventure%20Waterpark.jpg
184,184,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Sepanjang.jpg
185,185,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Krakal.jpg
186,186,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Glagah.jpg
187,187,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Siung.jpg
188,188,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Sadranan.jpg
189,189,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Nguluran.jpg
190,190,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Samas.jpg
191,191,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Drini.jpg
192,192,https://storage.googleapis.com/tenan-bucket/images/Air%20Terjun%20Sri%20Gethuk.jpg
193,193,https://storage.googleapis.com/tenan-bucket/images/Candi%20Sewu.jpg
194,194,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Wediombo.jpg
